Team;Elo;Date
Hellas Verona;1572,076782;2021-09-29
Udinese;1583,255371;2021-09-29
Torino;1589,307495;2021-09-29
Sampdoria;1636,249268;2021-09-29
Bologna;1584,756836;2021-09-29
Cagliari;1551,846924;2021-09-29
Empoli;1548,751099;2021-09-29
Genoa;1588,655762;2021-09-29
Spezia;1525,07373;2021-09-29
Venezia;1478,430908;2021-09-29
Salernitana;1454,231567;2021-09-29
Milan;1808,261353;2021-09-30
Juventus;1837,20166;2021-09-30
Internazionale;1887,423828;2021-09-30
Atalanta;1829,332153;2021-09-30
Napoli;1834,44873;2021-09-30
Roma;1744,952637;2021-09-30
Lazio;1723,051025;2021-09-30
Sassuolo;1678,031372;2021-09-30
Fiorentina;1649,091064;2021-09-30
Hellas Verona;1576,654053;2021-09-30
Udinese;1587,832642;2021-09-30
Torino;1593,884766;2021-09-30
Sampdoria;1640,82666;2021-09-30
Bologna;1589,334229;2021-09-30
Cagliari;1556,424194;2021-09-30
Empoli;1553,328369;2021-09-30
Genoa;1593,233032;2021-09-30
Spezia;1529,651001;2021-09-30
Venezia;1483,008179;2021-09-30
Salernitana;1458,80896;2021-09-30
Milan;1806,72998;2021-10-01
Juventus;1835,670288;2021-10-01
Internazionale;1885,892456;2021-10-01
Atalanta;1827,800659;2021-10-01
Napoli;1816,749512;2021-10-01
Roma;1750,770142;2021-10-01
Lazio;1725,918457;2021-10-01
Sassuolo;1676,5;2021-10-01
Fiorentina;1647,559692;2021-10-01
Hellas Verona;1575,122681;2021-10-01
Udinese;1586,301147;2021-10-01
Torino;1592,353271;2021-10-01
Sampdoria;1639,295166;2021-10-01
Bologna;1587,802734;2021-10-01
Cagliari;1554,892822;2021-10-01
Empoli;1551,796875;2021-10-01
Genoa;1591,70166;2021-10-01
Spezia;1528,119507;2021-10-01
Venezia;1481,476685;2021-10-01
Salernitana;1457,277466;2021-10-01
Torino;1592,353271;2021-10-02
Sampdoria;1639,295166;2021-10-02
Cagliari;1551,794434;2021-10-02
Genoa;1591,70166;2021-10-02
Venezia;1484,574951;2021-10-02
Juventus;1839,029907;2021-10-03
Internazionale;1889,805542;2021-10-03
Roma;1750,770142;2021-10-03
Sassuolo;1672,586792;2021-10-03
Torino;1588,993652;2021-10-03
Sampdoria;1639,295166;2021-10-03
Genoa;1581,25769;2021-10-03
Salernitana;1467,721436;2021-10-03
Milan;1816,287964;2021-10-04
Juventus;1839,029907;2021-10-04
Atalanta;1818,242676;2021-10-04
Napoli;1821,522217;2021-10-04
Roma;1754,670776;2021-10-04
Lazio;1707,975098;2021-10-04
Sassuolo;1672,586792;2021-10-04
Fiorentina;1642,786865;2021-10-04
Hellas Verona;1586,65332;2021-10-04
Udinese;1588,907471;2021-10-04
Torino;1588,993652;2021-10-04
Sampdoria;1636,688843;2021-10-04
Bologna;1605,746094;2021-10-04
Empoli;1547,896362;2021-10-04
Spezia;1516,588867;2021-10-04
Torino;1588,993652;2021-10-05
Sassuolo;1672,586792;2021-10-16
Torino;1588,993652;2021-10-16
Sampdoria;1636,688843;2021-10-16
Milan;1818,733887;2021-10-17
Internazionale;1873,5;2021-10-17
Atalanta;1818,242676;2021-10-17
Roma;1754,670776;2021-10-17
Lazio;1724,28064;2021-10-17
Sassuolo;1672,586792;2021-10-17
Fiorentina;1642,786865;2021-10-17
Hellas Verona;1584,207397;2021-10-17
Spezia;1522,359741;2021-10-17
Salernitana;1461,950439;2021-10-17
Milan;1818,733887;2021-10-18
Juventus;1843,933716;2021-10-18
Atalanta;1823,182495;2021-10-18
Napoli;1823,866333;2021-10-18
Roma;1749,766968;2021-10-18
Sassuolo;1671,141846;2021-10-18
Fiorentina;1642,786865;2021-10-18
Udinese;1588,219727;2021-10-18
Torino;1586,649536;2021-10-18
Sampdoria;1623,741089;2021-10-18
Bologna;1606,433838;2021-10-18
Cagliari;1564,74231;2021-10-18
Empoli;1542,956543;2021-10-18
Genoa;1582,702637;2021-10-18
