League,Gender,Country,Season,Match_Date,Matchweek,Home_Team,Home_Formation,Home_Score,Home_xG,Home_Goals,Home_Yellow_Cards,Home_Red_Cards,Away_Team,Away_Formation,Away_Score,Away_xG,Away_Goals,Away_Yellow_Cards,Away_Red_Cards,Game_URL,Team,Home_Away,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG_Expected,npxG_Expected,xA_Expected,SCA_SCA,GCA_SCA,Cmp_Passes,Att_Passes,Cmp_percent_Passes,Prog_Passes,Carries_Carries,Prog_Carries,Succ_Dribbles,Att_Dribbles,Cmp_Total,Att_Total,Cmp_percent_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp_percent_Short,Cmp_Medium,Att_Medium,Cmp_percent_Medium,Cmp_Long,Att_Long,Cmp_percent_Long,Ast_1,xA,KP,Final_Third,PPA,CrsPA,Prog,Att,Live_Pass_Types,Dead_Pass_Types,FK_Pass_Types,TB_Pass_Types,Press_Pass_Types,Sw_Pass_Types,Crs_Pass_Types,CK_Pass_Types,In_Corner_Kicks,Out_Corner_Kicks,Str_Corner_Kicks,Ground_Height,Low_Height,High_Height,Left_Body_Parts,Right_Body_Parts,Head_Body_Parts,TI_Body_Parts,Other_Body_Parts,Cmp_Outcomes,Off_Outcomes,Out_Outcomes,Int_Outcomes,Blocks_Outcomes,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs_Dribbles,Att_Vs_Dribbles,Tkl_percent_Vs_Dribbles,Past_Vs_Dribbles,Press_Pressures,Succ_Pressures,percent_Pressures,Def 3rd_Pressures,Mid 3rd_Pressures,Att 3rd_Pressures,Blocks_Blocks,Sh_Blocks,ShSv_Blocks,Pass_Blocks,Int_2,Tkl+Int,Clr,Err,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles_3,Att_Dribbles_4,Succ_percent_Dribbles,Player_NumPl_Dribbles,Megs_Dribbles,Carries_Carries_5,TotDist_Carries,PrgDist_Carries,Prog_Carries_6,Final_Third_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec_percent_Receiving,Prog_Receiving,CrdY_7,CrdR_8,2CrdY,Fls_9,Fld_10,Off_11,Crs_12,Int_13,TklW_14,PKwon_15,PKcon_16,OG_17,Recov,Won_Aerial_Duels,Lost_Aerial_Duels,Won_percent_Aerial_Duels,Cup,Cup_Home,Cup_Away,Win,TM_Value_Home_Team,TM_Value_Away_Team,log_ratio_Value
Serie A,M,ITA,2021-2022,2021-10-03,7,Atalanta,3-4-1-2,2,2.1,"
		
			Duvn Zapata (P) á 86&rsquor; 
		
			Mario Pa_ali_ á 90+4&rsquor; 
		
	",1,0,Milan,4-2-3-1,3,3.0,"
		
			 Davide Calabria á 1&rsquor;
		
			 Sandro Tonali á 43&rsquor;
		
			 Rafael Leo á 78&rsquor;
		
	",4,0,https://fbref.com/en/matches/ae7758d1/Atalanta-Milan-October-3-2021-Serie-A,Milan,Away,990,3,1,0,0,13,7,4,0,548,184,25,32,19,3.0,3.0,1.8,24,4,311,397,78.3,26,313,37,7,17,311,397,78.3,5745,2407,135,157,86.0,118,135,87.4,46,80,57.5,1,1.8,10,22,5,3,26,397,342,55,15,2,40,8,8,5,1,2,0,269,58,70,107,239,16,25,4,311,0,5,7,17,25,14,16,7,2,5,12,41.7,7,184,61,33.2,61,84,39,19,8,0,11,32,57,19,0,548,80,200,251,132,20,495,7,17,41.2,7,0,313,1911,1057,37,11,5,16,13,347,311,89.6,26,4,0,0,16,13,0,8,32,14,0,1,0,63,5,14,26.3,1,1,1,A,379900000,466600000,-0.20556429939374976
Serie A,M,ITA,2021-2022,2021-10-03,7,Atalanta,3-4-1-2,2,2.1,"
		
			Duvn Zapata (P) á 86&rsquor; 
		
			Mario Pa_ali_ á 90+4&rsquor; 
		
	",1,0,Milan,4-2-3-1,3,3.0,"
		
			 Davide Calabria á 1&rsquor;
		
			 Sandro Tonali á 43&rsquor;
		
			 Rafael Leo á 78&rsquor;
		
	",4,0,https://fbref.com/en/matches/ae7758d1/Atalanta-Milan-October-3-2021-Serie-A,Atalanta,Home,990,2,1,1,1,16,4,1,0,646,124,23,9,25,2.2,1.4,0.9,24,2,406,499,81.4,50,400,41,6,12,406,499,81.4,7879,2893,173,197,87.8,168,197,85.3,63,91,69.2,1,0.9,10,29,9,2,50,499,445,54,13,0,105,20,9,9,3,3,3,348,71,80,181,260,17,24,6,406,2,5,29,12,23,11,14,8,1,10,17,58.8,7,124,32,25.8,51,47,26,25,7,0,18,9,32,17,1,646,60,189,302,204,30,592,6,12,50.0,7,0,400,2181,1135,41,20,3,17,20,445,406,91.2,50,1,0,0,13,14,2,9,9,11,0,0,0,92,14,5,73.7,1,1,1,A,379900000,466600000,-0.20556429939374976
Serie A,M,ITA,2021-2022,2021-10-16,8,Milan,4-2-3-1,3,1.5,"
		
			Olivier Giroud á 59&rsquor; 
		
			Franck Kessi (P) á 76&rsquor; 
		
			Koray Gnter (OG) á 78&rsquor; 
		
	",1,0,Hellas Verona,03/04/03,2,1.4,"
		
			 Gianluca Caprari á 7&rsquor;
		
			 Antonn Bark (P) á 24&rsquor;
		
	",4,0,https://fbref.com/en/matches/36d9f7e2/Milan-Hellas-Verona-October-16-2021-Serie-A,Milan,Home,990,2,1,1,1,16,3,1,0,567,100,23,12,17,1.5,0.8,0.7,27,3,338,451,74.9,44,341,48,11,13,338,451,74.9,7077,2609,107,128,83.6,163,199,81.9,60,105,57.1,1,0.7,14,28,15,7,44,451,402,49,20,0,82,9,18,5,2,0,0,274,73,104,192,203,24,13,4,338,0,6,11,11,23,13,12,10,1,10,18,55.6,8,100,35,35.0,41,44,15,17,1,0,16,12,35,17,0,567,67,192,254,161,30,523,11,13,84.6,11,0,341,2365,1343,48,21,4,14,11,363,338,93.1,44,1,0,0,11,21,0,18,12,13,1,1,0,109,21,21,50.0,0,0,0,H,466600000,116530000,1.3873236090021577
Serie A,M,ITA,2021-2022,2021-10-16,8,Milan,4-2-3-1,3,1.5,"
		
			Olivier Giroud á 59&rsquor; 
		
			Franck Kessi (P) á 76&rsquor; 
		
			Koray Gnter (OG) á 78&rsquor; 
		
	",1,0,Hellas Verona,03/04/03,2,1.4,"
		
			 Gianluca Caprari á 7&rsquor;
		
			 Antonn Bark (P) á 24&rsquor;
		
	",4,0,https://fbref.com/en/matches/36d9f7e2/Milan-Hellas-Verona-October-16-2021-Serie-A,Hellas Verona,Away,990,2,1,1,1,9,4,4,0,513,182,13,11,17,1.4,0.7,0.6,16,3,285,395,72.2,38,276,26,7,18,285,395,72.2,5565,2540,127,152,83.6,109,142,76.8,45,85,52.9,1,0.6,7,21,9,2,38,395,346,49,10,1,44,11,9,4,1,2,0,226,69,100,119,206,26,21,10,285,1,7,11,15,13,11,5,6,2,2,13,15.4,11,182,53,29.1,79,70,33,17,7,0,10,11,24,27,0,513,72,169,220,154,25,466,7,18,38.9,8,0,276,1217,630,26,9,1,14,13,361,285,78.9,38,4,0,0,21,11,1,9,11,11,1,1,1,98,21,21,50.0,0,0,0,H,466600000,116530000,1.3873236090021577
Serie A,M,ITA,2021-2022,2021-10-23,9,Bologna,03/04/03,2,0.7,"
		
			Adama Soumaoro á 20&rsquor; 
		
			Zlatan Ibrahimovi_ (OG) á 49&rsquor; 
		
			Musa Barrow á 52&rsquor; 
		
			Roberto Soriano á 58&rsquor; 
		
	",1,2,Milan,4-2-3-1,4,0.9,"
		
			 Rafael Leo á 16&rsquor;
		
			 Davide Calabria á 35&rsquor;
		
			 Ismal Bennacer á 84&rsquor;
		
			 Zlatan Ibrahimovi_ á 90&rsquor;
		
	",3,0,https://fbref.com/en/matches/03c04ac9/Bologna-Milan-October-23-2021-Serie-A,Bologna,Home,886,1,1,0,0,9,4,1,2,477,143,14,9,19,0.7,0.7,0.7,13,2,305,382,79.8,23,266,22,8,15,305,382,79.8,5769,2267,137,153,89.5,112,133,84.2,46,76,60.5,1,0.7,7,20,7,2,23,382,331,51,17,1,76,12,5,4,3,1,0,246,51,85,89,247,13,17,5,305,0,8,8,11,14,11,9,1,4,7,17,41.2,10,143,46,32.2,86,39,18,19,7,0,12,9,23,17,3,477,63,178,232,101,14,429,8,15,53.3,9,2,266,1431,604,22,7,1,11,9,371,305,82.2,23,1,2,0,9,16,0,5,9,11,0,0,0,51,11,12,47.8,0,0,1,A,142750000,466600000,-1.18437751105121
Serie A,M,ITA,2021-2022,2021-10-23,9,Bologna,03/04/03,2,0.7,"
		
			Adama Soumaoro á 20&rsquor; 
		
			Zlatan Ibrahimovi_ (OG) á 49&rsquor; 
		
			Musa Barrow á 52&rsquor; 
		
			Roberto Soriano á 58&rsquor; 
		
	",1,2,Milan,4-2-3-1,4,0.9,"
		
			 Rafael Leo á 16&rsquor;
		
			 Davide Calabria á 35&rsquor;
		
			 Ismal Bennacer á 84&rsquor;
		
			 Zlatan Ibrahimovi_ á 90&rsquor;
		
	",3,0,https://fbref.com/en/matches/03c04ac9/Bologna-Milan-October-23-2021-Serie-A,Milan,Away,990,4,2,0,0,15,7,3,0,732,147,15,9,13,0.9,0.9,0.5,24,4,561,636,88.2,55,510,71,8,17,561,636,88.2,10497,2846,240,261,92.0,230,250,92.0,81,101,80.2,2,0.5,9,48,15,4,55,636,603,33,6,2,39,11,17,1,0,0,0,494,66,76,204,378,19,19,6,561,1,5,9,13,15,8,7,5,3,6,15,40.0,9,147,38,25.9,42,72,33,13,1,0,12,9,24,8,0,732,31,134,407,242,28,700,8,17,47.1,10,0,510,2796,1577,71,21,3,11,7,593,561,94.6,55,3,0,0,17,11,2,17,9,8,0,0,1,77,12,11,52.2,1,0,1,A,142750000,466600000,-1.18437751105121
Serie A,M,ITA,2021-2022,2021-10-26,10,Milan,4-2-3-1,1,0.9,"
		
			Olivier Giroud á 14&rsquor; 
		
	",3,0,Torino,03/04/03,0,0.8,"
		
	",3,0,https://fbref.com/en/matches/c3a5ed16/Milan-Torino-October-26-2021-Serie-A,Torino,Away,990,0,0,0,0,13,2,3,0,626,167,14,14,19,0.8,0.8,0.8,23,0,415,519,80.0,41,377,50,10,18,415,519,80.0,8558,3005,162,183,88.5,170,203,83.7,78,115,67.8,0,0.8,12,46,14,1,41,519,480,39,14,0,50,20,12,5,1,4,0,323,77,119,158,291,27,12,6,415,1,12,15,12,14,8,2,9,3,6,16,37.5,10,167,57,34.1,45,83,39,19,2,0,17,14,28,7,0,626,39,119,337,211,33,588,10,18,55.6,11,0,377,1928,904,50,15,6,19,9,514,415,80.7,41,3,0,0,22,15,1,12,14,8,0,0,0,99,26,23,53.1,0,0,0,H,466600000,205680000,0.8191507966296955
Serie A,M,ITA,2021-2022,2021-10-26,10,Milan,4-2-3-1,1,0.9,"
		
			Olivier Giroud á 14&rsquor; 
		
	",3,0,Torino,03/04/03,0,0.8,"
		
	",3,0,https://fbref.com/en/matches/c3a5ed16/Milan-Torino-October-26-2021-Serie-A,Milan,Home,990,1,1,0,0,10,2,3,0,545,132,16,18,18,0.9,0.9,0.2,15,1,316,412,76.7,20,297,23,10,16,316,412,76.7,6380,2783,135,157,86.0,124,152,81.6,51,84,60.7,1,0.2,7,21,2,1,20,412,358,54,22,0,55,9,5,2,1,1,0,256,57,99,130,228,13,21,3,316,0,1,13,17,16,11,6,6,4,7,18,38.9,11,132,26,19.7,55,56,21,18,6,0,12,18,34,21,0,545,58,189,265,125,10,492,10,16,62.5,10,0,297,1783,767,23,12,3,19,8,385,316,82.1,20,3,0,0,15,22,0,5,18,11,0,0,0,83,23,26,46.9,0,0,0,H,466600000,205680000,0.8191507966296955
Serie A,M,ITA,2021-2022,2021-10-31,11,Roma,4-2-3-1,1,1.2,"
		
			Stephan El Shaarawy á 90+3&rsquor; 
		
	",4,0,Milan,4-2-3-1,2,1.9,"
		
			 Zlatan Ibrahimovi_ á 26&rsquor;
		
			 Franck Kessi (P) á 57&rsquor;
		
			 Theo Hernndez á 66&rsquor;
		
	",7,1,https://fbref.com/en/matches/7d80fa2c/Roma-Milan-October-31-2021-Serie-A,Roma,Home,990,1,0,0,0,24,6,4,0,534,165,12,11,8,1.2,1.2,0.6,36,0,351,425,82.6,41,333,61,6,15,351,425,82.6,7000,2483,131,146,89.7,164,188,87.2,50,74,67.6,0,0.6,16,37,13,3,41,425,380,45,17,1,35,10,17,5,3,2,0,312,47,66,99,290,15,15,2,351,2,4,10,11,12,8,6,4,2,2,11,18.2,9,165,38,23.0,49,73,43,8,2,0,6,11,23,13,0,534,40,143,234,204,40,491,6,15,40.0,7,0,333,2243,1253,61,18,5,17,5,415,351,84.6,41,4,0,0,23,15,2,17,11,8,0,1,0,79,10,15,40.0,0,0,0,A,390650000,466600000,-0.17766034114457632
Serie A,M,ITA,2021-2022,2021-10-31,11,Roma,4-2-3-1,1,1.2,"
		
			Stephan El Shaarawy á 90+3&rsquor; 
		
	",4,0,Milan,4-2-3-1,2,1.9,"
		
			 Zlatan Ibrahimovi_ á 26&rsquor;
		
			 Franck Kessi (P) á 57&rsquor;
		
			 Theo Hernndez á 66&rsquor;
		
	",7,1,https://fbref.com/en/matches/7d80fa2c/Roma-Milan-October-31-2021-Serie-A,Milan,Away,965,2,0,1,1,7,2,7,1,542,101,13,10,17,1.9,1.1,1.0,13,4,357,431,82.8,24,309,24,9,11,357,431,82.8,7439,2491,120,128,93.8,173,196,88.3,59,93,63.4,0,1.0,4,15,5,1,24,431,386,45,18,2,80,9,6,2,1,1,0,309,47,75,132,261,11,10,3,357,5,4,11,6,13,7,10,3,0,8,15,53.3,7,101,28,27.7,48,41,12,17,6,0,11,10,23,24,0,542,98,233,252,86,11,495,9,11,81.8,9,0,309,1677,933,24,4,0,16,10,425,357,84.0,24,7,1,1,14,22,5,6,10,7,1,0,0,62,15,10,60.0,0,0,0,A,390650000,466600000,-0.17766034114457632
