Matchweek,Match_Date,Home_Team,Away_Team,Win,log_ratio_Value,Cup_Home,Cup_Away,Winvalue,Home_Performance,Away_Performance,Home_Diff_Goals,Away_Diff_Goals,Aprob_TMValue_Costant,Dprob_TMValue_Costant,Hprob_TMValue_Costant,TMValue_Costant_pred,ln_TM_Home,ln_TM_Away,log_ratio_ln_TM,Aprob_TMValue_Lineups,Dprob_TMValue_Lineups,Hprob_TMValue_Lineups,TMValue_Lineups_pred,Elo_Home,Elo_Away,ratio_Elo
13,2021-11-21,Internazionale,Napoli,H,0.08531312182677148,0,0,2,1.5,1.5,16,20,0.2924547289295624,0.3271260351501734,0.3804192359202641,H,359627777.7777778,348022222.2222222,0.03280321124108259,0.29335612507520353,0.3411571374845607,0.3654867374402358,H,1872.32605,1819.162964,1.0292239271863275
13,2021-11-21,Sassuolo,Cagliari,D,0.46225165244141764,0,0,1,-2.0,-2.0,-1,-13,0.2006440839121956,0.29660274680109666,0.5027531692867078,H,144338888.8888889,88122222.22222222,0.49343918998759656,0.232635673462102,0.32640747092743594,0.44095685561046205,H,1658.830078,1531.372437,1.0832309880473576
13,2021-11-20,Atalanta,Spezia,H,1.691412818144221,0,0,2,2.0,-1.0,7,-13,0.0922301246397946,0.19365715853793244,0.714112716822273,H,200722222.2222222,35118888.88888889,1.743182842545149,0.11665034410980032,0.2391194034083632,0.6442302524818364,H,1809.475708,1511.671387,1.197003345807193
13,2021-11-20,Lazio,Juventus,A,-0.7503679094022508,0,0,0,1.5,0.5,6,1,0.616697196755318,0.24705536965772146,0.13624743358696056,A,180822222.2222222,293988888.8888889,-0.48602762280323897,0.5894614688549623,0.2677729318843506,0.1427655992606871,A,1708.744507,1823.978516,0.9368227158438747
13,2021-11-21,Bologna,Venezia,A,0.48569172060709354,0,0,0,0.0,-1.0,-4,-8,0.23689736972122744,0.31330673015214505,0.4497959001266275,H,96733333.33333333,49294444.44444445,0.6741466658368502,0.20188506159385952,0.31216464418969003,0.4859502942164504,H,1605.095825,1488.87085,1.0780624961527052
13,2021-11-21,Genoa,Roma,A,-1.2838306520303722,0,0,0,-2.0,-0.5,-7,6,0.640025053616459,0.2350650037014993,0.1249099426820417,A,30264444.444444444,235740000.0,-2.0527559299938316,0.8202574412499486,0.1299521566801526,0.04979040206989882,A,1564.19519,1698.273071,0.9210504580861953
13,2021-11-20,Fiorentina,Milan,H,-0.6970123346095733,0,0,2,0.0,1.5,2,15,0.4481174542311556,0.3137565066725961,0.23812603909624824,A,146611111.1111111,221277777.7777778,-0.41163524667832035,0.3087010828615789,0.34255586045372105,0.3487430566847001,H,1631.053955,1816.663818,0.8978292729998105
13,2021-11-22,Torino,Udinese,H,0.6891683311164919,0,0,2,-2.0,-1.0,3,-3,0.12672031650417978,0.23705565063746512,0.636224032858355,H,112166666.66666667,65922222.222222224,0.5315102644882946,0.16328033627413993,0.2860806760526845,0.5506389876731755,H,1586.503662,1591.705566,0.9967318679339217
14,2021-11-28,Milan,Sassuolo,A,0.8195398260063195,1,0,0,0.5,-2.0,14,-1,0.22330543311743095,0.3078427311186736,0.4688518357638955,H,241627777.7777778,133100000.0,0.5962977082963309,0.3335049652117514,0.34313933447093675,0.3233557003173118,D,1818.684326,1656.453247,1.097938821571823
14,2021-11-27,Venezia,Internazionale,A,-1.8361501765496449,0,1,0,0.0,2.0,-7,17,0.766119811661314,0.16197533545571086,0.0719048528829751,A,49523333.33333333,342605555.5555556,-1.9341358626429952,0.7359285988018551,0.18504732189362216,0.07902407930452271,A,1503.05127,1883.541382,0.7979921675009951
14,2021-11-27,Juventus,Atalanta,A,0.39939248218593015,1,1,0,1.5,2.0,3,10,0.193914094464109,0.29271055436579163,0.5133753511700994,H,320066666.6666667,237800000.0,0.29709932317204896,0.19757049366766807,0.30973377416989945,0.49269573216243245,H,1827.276978,1812.077515,1.0083878657917127
14,2021-11-28,Udinese,Genoa,D,-0.04682813457123898,0,0,1,-2.0,-2.0,-4,-9,0.33091785686663716,0.3299634846222423,0.3391186585111206,H,61211111.11111111,30355555.555555556,0.7013491767820358,0.15749325480083418,0.2812580588272533,0.5612486863719125,H,1586.824951,1558.561523,1.0181343037043524
14,2021-11-27,Empoli,Fiorentina,H,-0.9871602094093667,0,0,2,-2.0,1.0,-6,3,0.45306360103355053,0.31241616101248476,0.23452023795396476,A,58966666.666666664,177466666.66666666,-1.101810485355217,0.4846615821810359,0.3126207713630505,0.20271764645591367,A,1549.453003,1644.810303,0.9420253509927097
14,2021-11-28,Spezia,Bologna,A,-0.7125996064867606,0,0,0,-2.0,-1.0,-16,-5,0.4843237677729801,0.30294420625658675,0.21273202597043311,A,40013333.333333336,96988888.8888889,-0.885383692501028,0.5042589636260822,0.3054012698028553,0.19033976657106244,A,1511.150635,1595.33252,0.9472323895209006
14,2021-11-28,Napoli,Lazio,H,0.6373075496746403,1,1,2,0.5,0.5,19,4,0.16549054761155535,0.2731529704122327,0.561356481976212,H,286794444.4444444,177355555.55555555,0.4806092315968887,0.25787543853666894,0.33448387377057265,0.4076406876927584,H,1802.165771,1712.578613,1.0523112675353725
14,2021-11-27,Sampdoria,Hellas Verona,H,-0.12051137445957912,0,0,2,-1.0,0.0,-8,5,0.2989032098099134,0.32794865220464037,0.37314813798544627,H,46150000.0,80014444.44444445,-0.5503102129823835,0.3753346409579444,0.33998645430215463,0.28467890473990104,A,1600.765381,1621.253784,0.9873626182389221
14,2021-11-28,Roma,Torino,H,0.6414904554851193,1,0,2,0.5,-1.0,8,4,0.22183959226489583,0.307198389702264,0.4709620180328402,H,197166666.66666666,110944444.44444445,0.5750198192306811,0.24060606746356947,0.3292853300524482,0.4301086024839823,H,1713.501221,1595.801514,1.073755856206062
14,2021-11-26,Cagliari,Salernitana,D,0.8428034707993644,0,0,1,-2.0,-2.0,-13,-18,0.13132710773158457,0.24198951443310923,0.6266833778353063,H,84333333.33333333,13408888.888888888,1.8388593631047696,0.03581759120634038,0.0986439438927352,0.8655384649009243,H,1532.971802,1437.479492,1.0664303807681732
15,2021-12-01,Internazionale,Spezia,H,2.063058062429312,0,0,2,2.0,-2.0,19,-17,0.07336201589002896,0.16441682267450086,0.7622211614354701,H,281216666.6666667,28641111.111111112,2.2842822908573095,0.0993968070164565,0.21639543956707177,0.6842077534164718,H,1885.900513,1504.281372,1.2536886702868777
15,2021-12-01,Genoa,Milan,A,-1.4614909931749485,0,0,0,-2.0,-0.5,-9,12,0.6925709328742866,0.2061804296991374,0.10124863742657597,A,41161111.11111111,257377777.7777778,-1.833051052488969,0.7283737751338417,0.18975237128738476,0.08187385357877353,A,1560.575195,1800.491699,0.866749452867097
15,2021-12-01,Bologna,Roma,H,-1.0067171699066337,0,0,2,0.0,1.5,-4,9,0.5509064546438428,0.27767326199172204,0.17142028336443516,A,91527777.77777778,207866666.66666666,-0.8202543400350141,0.4518862359052148,0.32327984316652303,0.22483392092826215,A,1602.201904,1717.614136,0.9328066592018314
15,2021-11-30,Atalanta,Venezia,H,1.4645049322645538,0,0,2,2.0,-1.0,11,-9,0.12085066499628583,0.23049298459519318,0.648656350408521,H,186344444.44444445,45773333.333333336,1.403895133079981,0.17548548197953592,0.2954297079778144,0.5290848100426496,H,1821.557373,1500.692261,1.2138113991380144
15,2021-12-02,Lazio,Udinese,D,0.9517794011361169,0,0,1,-0.5,-2.0,0,-4,0.15877154855107858,0.2677307921984309,0.5734976592504906,H,178111111.1111111,56970000.0,1.1398827617810292,0.1211436426975094,0.24451736845755584,0.6343389888449347,H,1703.111206,1584.811279,1.0746460657919132
15,2021-11-30,Salernitana,Juventus,A,-2.318423132039282,0,0,0,-2.0,0.5,-18,2,0.8465970939845362,0.1094386331933156,0.04396427282214821,A,13291111.111111112,235000000.0,-2.8724900398639672,0.9125896859331116,0.06501909706819897,0.0223912169986894,A,1446.476563,1817.797119,0.7957304739242465
15,2021-11-30,Fiorentina,Sampdoria,H,0.8108226488521633,0,0,2,0.0,0.0,2,-6,0.13603568720064227,0.24684161033448634,0.6171227024648713,H,145411111.1111111,45116666.666666664,1.170313252333015,0.09885071700012227,0.21562168903886847,0.6855275939610093,H,1635.479858,1611.203613,1.0150671490580874
15,2021-12-02,Torino,Empoli,D,0.8650217473892445,0,0,1,-2.0,-1.0,3,-5,0.10297850841582702,0.2084823241428861,0.6885391674412868,H,86683333.33333333,55561111.11111111,0.4447781154646661,0.18950165190285614,0.3048776215215443,0.5056207265755995,H,1591.688599,1558.783569,1.0211094283096078
15,2021-12-01,Sassuolo,Napoli,D,-0.9003076490708894,0,0,1,-1.0,1.5,1,23,0.45458959653804537,0.3119935745585111,0.23341682890344356,A,141083333.3333333,278150000.0,-0.6788098041761674,0.2865977988889012,0.34026983557288476,0.373132365538214,H,1674.645996,1811.633301,0.924384639582202
15,2021-11-30,Hellas Verona,Cagliari,D,-0.10553213055442053,0,0,1,-1.0,-2.0,3,-13,0.40585764788953543,0.3232588021094244,0.2708835500010401,A,77853333.33333334,60966666.66666667,0.24449944801851692,0.3802288943587155,0.33931310364969564,0.2804580019915888,A,1610.815674,1534.36377,1.0498264528235048
16,2021-12-04,Napoli,Atalanta,A,0.2863321224583194,0,0,0,1.0,2.0,23,15,0.1983717821232462,0.2953182839528827,0.506309933923871,H,190966666.66666666,218944444.44444445,-0.13671912655241664,0.36480331789269643,0.34122904123639636,0.29396764087090727,A,1808.964966,1824.445801,0.9915147739705313
16,2021-12-06,Empoli,Udinese,H,-0.17585341627275267,0,0,2,-1.5,-2.0,-5,-4,0.3989639634097813,0.3244534842834211,0.2765825523067977,A,63844444.44444444,51400000.0,0.21681139674785038,0.2664148257155546,0.3365606771273773,0.39702449715706817,H,1560.899292,1589.117065,0.982243112466985
16,2021-12-04,Roma,Internazionale,A,-0.3437412860359175,0,0,0,0.5,2.0,8,21,0.33639020204737197,0.32998555599346496,0.3336242419591631,A,198866666.66666666,293011111.1111111,-0.3875759467664378,0.3013030428663016,0.34198572625529455,0.35671123087840384,H,1707.842407,1887.307861,0.9049092849616441
16,2021-12-05,Juventus,Genoa,H,1.6553191759671289,0,0,2,1.5,-2.0,4,-12,0.1076196555424666,0.2145042529013858,0.6778760915561477,H,235644444.44444445,24855555.555555556,2.2492427864787317,0.058661494130824325,0.14806825762204862,0.793270248247127,H,1820.309204,1554.550781,1.170955124945513
16,2021-12-04,Milan,Salernitana,H,2.1245949492471015,0,0,2,0.5,-2.0,15,-20,0.048098706318307906,0.11794289296350152,0.8339584007181906,H,273272222.2222222,10346666.666666666,3.2738040427103923,0.01758419330204654,0.05205489605064138,0.9303609106473121,H,1806.515991,1443.964478,1.251080631500133
16,2021-12-05,Spezia,Sassuolo,D,-1.077437291531651,0,0,1,-2.0,-1.5,-19,1,0.6332493730023955,0.23860365842309528,0.12814696857450925,A,32833333.333333332,132866666.66666666,-1.3979018596006512,0.651322816257573,0.23519210419589376,0.1134850795465332,A,1502.873901,1677.314209,0.8960002204333559
16,2021-12-05,Bologna,Fiorentina,A,-0.4873651764416365,0,0,0,1.0,1.0,-3,4,0.4700267058670814,0.3074849282958365,0.2224883658370821,A,87077777.77777778,186116666.66666666,-0.759572000501092,0.5577484126778329,0.28286466673442223,0.15938692058774484,A,1611.973511,1644.368652,0.9802993440913637
16,2021-12-05,Venezia,Hellas Verona,A,-0.2827456226561459,0,0,0,-2.0,-1.5,-13,3,0.3745912580262185,0.32779582115659256,0.29761292081718893,A,26530000.0,70087777.77777778,-0.9714722565921322,0.5240272604304923,0.29753248598178816,0.17844025358771953,A,1497.803711,1607.526245,0.9317444835869538
16,2021-12-05,Sampdoria,Lazio,A,-0.9512952568516663,0,0,0,-1.0,-1.0,-8,0,0.6224579362725815,0.24414548405548286,0.13339657967193563,A,42531111.11111111,150411111.1111111,-1.2631364515818133,0.7040800493252551,0.20459560305182967,0.09132434762291519,A,1602.314819,1698.80542,0.9432009105551359
16,2021-12-06,Cagliari,Torino,D,-0.4626406818180416,0,0,1,-2.0,-2.0,-13,3,0.4625557984316154,0.30971941369272143,0.22772478787566325,A,83000000.0,84294444.44444445,-0.015475352838432892,0.23402898720233914,0.3269333005824261,0.4390377122152348,H,1537.653076,1589.572754,0.9673373377410066
17,2021-12-12,Napoli,Empoli,A,1.7649403670835098,1,0,0,0.0,-0.5,22,-3,0.047564985236284524,0.11686021774069608,0.8355747970230194,H,193222222.2222222,57700000.0,1.2085837635040098,0.14619332733282167,0.2710726088142882,0.5827340638528902,H,1799.426025,1565.892334,1.14913777015783
17,2021-12-13,Roma,Spezia,H,1.7193167763933943,1,0,2,-0.5,-2.0,5,-19,0.06356769059223208,0.14746513737415157,0.7889671720336163,H,184717777.7777778,30891111.111111112,1.7883606585412366,0.08414295816808533,0.19342143407287288,0.7224356077590417,H,1697.561279,1500.389893,1.1314134325483622
17,2021-12-10,Genoa,Sampdoria,A,0.04634399028678826,0,0,0,-2.0,-2.0,-14,-10,0.3040325643312125,0.32849903355329435,0.36746840211549314,H,33705555.55555555,46382222.222222224,-0.3192535670001116,0.3985964257320426,0.3362692087049471,0.26513436556301023,A,1548.20105,1589.75061,0.9738641018668959
17,2021-12-12,Hellas Verona,Atalanta,A,-1.1817593096084078,0,1,0,-0.5,2.0,4,16,0.5479379155791191,0.27893188833628824,0.17313019608459268,A,67442222.22222222,197544444.44444445,-1.0746923299350155,0.4869355037092261,0.3118141323458168,0.2012503639449571,A,1607.621216,1815.216064,0.8856362875378344
17,2021-12-12,Internazionale,Cagliari,H,1.4478724233390783,1,0,2,2.0,-2.0,24,-13,0.15231519069075278,0.2622084048014872,0.5854764045077601,H,396694444.4444445,66735000.0,1.7824367700707084,0.18737657396609775,0.30352949218781267,0.5090939338460896,H,1881.752808,1531.922485,1.2283603292107825
17,2021-12-12,Sassuolo,Lazio,H,-0.2630000993962491,0,1,2,-2.0,0.0,1,2,0.2875319223912897,0.32639747655640344,0.3860706010523068,H,139394444.44444445,117422222.22222222,0.1715314683206521,0.1817874913595565,0.29984177916161736,0.5183707294788261,H,1667.438965,1696.13916,0.9830791036037397
17,2021-12-11,Venezia,Juventus,D,-1.863897414450484,0,1,1,-2.0,2.0,-14,6,0.6756992332379002,0.2157216483366582,0.10857911842544166,A,44125555.55555555,235588888.8888889,-1.6750491840839075,0.5715693754082358,0.276433800392205,0.15199682419955918,A,1485.349487,1818.662964,0.8167260874621296
17,2021-12-11,Fiorentina,Salernitana,H,1.4275826146375281,0,0,2,2.0,-2.0,5,-22,0.15583829534640428,0.2652605214256044,0.5789011832279913,H,180483333.33333334,11193333.333333332,2.780320074424994,0.04224951813279654,0.11349652024752235,0.8442539616196811,H,1646.473633,1436.155762,1.146445028154265
