Date;Home_Team;Away_Team;Home_Goals;Away_Goals;Win_Home_Bet;Draw_Bet;Win_Away_Bet
22/11/21;Torino;Udinese;2;1;2.05;3.4;3.7
26/11/21;Cagliari;Salernitana;1;1;1.83;3.6;4.33
27/11/21;Sampdoria;Hellas Verona;3;1;2.9;3.5;2.37
27/11/21;Venezia;Internazionale;0;2;8;5;1.36
27/11/21;Juventus;Atalanta;0;1;2.2;3.5;3.25
27/11/21;Empoli;Fiorentina;2;1;3.4;3.4;2.15
28/11/21;Milan;Sassuolo;1;3;1.53;4.5;5.5
28/11/21;Spezia;Bologna;0;1;3;3.5;2.3
28/11/21;Udinese;Genoa;0;0;1.75;3.6;4.75
28/11/21;Napoli;Lazio;4;0;1.8;3.8;4.33
28/11/21;Roma;Torino;1;0;1.72;4;4.5
30/11/21;Salernitana;Juventus;0;2;9.5;5.5;1.3
30/11/21;Atalanta;Venezia;4;0;1.22;6;12
30/11/21;Fiorentina;Sampdoria;3;1;1.7;3.8;5
30/11/21;Hellas Verona;Cagliari;0;0;1.61;4;5.25
01/12/21;Genoa;Milan;0;3;5;4;1.66
01/12/21;Sassuolo;Napoli;2;2;4;3.9;1.8
01/12/21;Internazionale;Spezia;2;0;1.18;7.5;13
01/12/21;Bologna;Roma;1;0;3.1;3.6;2.2
02/12/21;Torino;Empoli;2;2;1.72;3.8;4.75
02/12/21;Lazio;Udinese;4;4;1.66;3.8;5.25
04/12/21;Milan;Salernitana;2;0;1.18;7;15
04/12/21;Roma;Internazionale;0;3;3.8;3.8;1.9
04/12/21;Napoli;Atalanta;2;3;2.45;3.5;2.8
05/12/21;Sampdoria;Lazio;1;3;3.5;3.6;2.05
05/12/21;Juventus;Genoa;2;0;1.25;6;12
05/12/21;Spezia;Sassuolo;2;2;3.3;3.75;2.05
05/12/21;Venezia;Hellas Verona;3;4;3.6;3.5;2
05/12/21;Bologna;Fiorentina;2;3;2.87;3.3;2.5
06/12/21;Cagliari;Torino;1;1;3.5;3.2;2.25
06/12/21;Empoli;Udinese;3;1;2.6;3.25;2.8
10/12/21;Genoa;Sampdoria;1;3;3.2;3.3;2.25
11/12/21;Udinese;Milan;1;1;4.2;3.5;1.9
11/12/21;Venezia;Juventus;1;1;9;4.75;1.36
11/12/21;Fiorentina;Salernitana;4;0;1.3;5.5;9.5
12/12/21;Internazionale;Cagliari;4;0;1.16;8;15
12/12/21;Torino;Bologna;2;1;2.2;3.25;3.5
12/12/21;Hellas Verona;Atalanta;1;2;3.8;3.8;1.9
12/12/21;Sassuolo;Lazio;2;1;2.7;3.5;2.5
12/12/21;Napoli;Empoli;0;1;1.33;5;10
13/12/21;Roma;Spezia;2;0;1.4;5;7.5
